user_id,experience_id,viewed,liked,shared,bucketlist,purchased,attended,createdAt,score
446,65083cd6313443081a272366,1,1,1,0,0,0,2023-08-25 13:50:42,2
80,64fc8bc73d690a3e195ee898,1,0,1,1,0,0,2023-05-02 08:48:01,2
5,64fc7f3d3d690a3e195ee882,1,1,0,0,0,0,2023-09-12 23:10:43,1
1120,6507ee68313443081a27234a,1,0,0,0,0,0,2023-08-09 02:35:32,0
806,64fca7ce3d690a3e195ee97a,1,0,0,0,0,0,2023-04-20 14:18:58,0
151,64fc8bc73d690a3e195ee898,1,1,1,1,0,0,2023-06-01 15:44:46,3
1505,64fca0063d690a3e195ee937,1,0,0,0,0,0,2023-04-23 15:10:18,0
973,64fc7f3d3d690a3e195ee882,1,1,1,0,1,1,2023-05-01 17:08:12,4
914,64dfb10e7792cee05d3328d3,1,0,0,0,0,0,2023-07-15 01:55:45,0
1634,64fc46763d690a3e195ee6c6,1,1,0,0,0,0,2023-07-07 18:47:35,1
1641,64fc4dd63d690a3e195ee6ee,1,1,1,0,0,0,2023-07-09 19:56:04,2
1268,65285a2e66f321cbd9ef4ba0,1,1,1,0,0,0,2023-08-29 20:54:14,2
1680,64fca7ce3d690a3e195ee97a,1,0,0,0,0,0,2023-07-29 17:13:31,0
427,64fc2511148fd2e0b23d5031,1,0,1,0,0,0,2023-07-08 00:36:56,1
11,64fca2693d690a3e195ee94d,1,1,0,1,1,0,2023-06-02 05:34:30,3
580,64fc2511148fd2e0b23d5031,1,1,1,0,0,0,2023-09-23 21:31:44,2
991,65083cd6313443081a272366,1,1,1,1,1,0,2023-06-08 22:39:39,4
973,65285a2e66f321cbd9ef4ba0,1,1,0,0,0,0,2023-05-11 15:28:09,1
1478,64fc7f3d3d690a3e195ee882,1,0,0,0,0,0,2023-07-12 20:17:20,0
1218,64fca0063d690a3e195ee937,1,0,0,0,0,0,2023-04-14 13:51:16,0
669,64fca2693d690a3e195ee94d,1,0,0,0,0,0,2023-06-05 22:18:43,0
766,64fca2693d690a3e195ee94d,1,1,0,0,1,0,2023-07-05 01:32:26,2
1096,64fc8bc73d690a3e195ee898,1,0,1,0,1,1,2023-05-19 06:34:44,3
1667,64dfb10e7792cee05d3328d3,1,1,1,1,0,0,2023-07-29 12:53:45,3
784,65083cd6313443081a272366,1,1,1,0,0,0,2023-07-28 20:19:47,2
590,64fc4dd63d690a3e195ee6ee,1,1,0,0,1,0,2023-10-08 01:40:47,2
1598,64fc7f3d3d690a3e195ee882,1,0,1,1,1,1,2023-05-18 13:56:23,4
557,6507ee68313443081a27234a,1,1,1,0,0,0,2023-09-29 07:39:05,2
1061,64fc7f3d3d690a3e195ee882,1,0,1,0,0,0,2023-09-03 13:22:09,1
1032,64fca0063d690a3e195ee937,1,0,0,0,0,0,2023-06-14 01:41:10,0
1538,64fc4dd63d690a3e195ee6ee,1,0,1,0,1,0,2023-10-08 16:40:14,2
723,64fc8bc73d690a3e195ee898,1,1,0,1,1,0,2023-05-29 04:33:48,3
1509,65083cd6313443081a272366,1,1,1,1,0,0,2023-10-15 01:23:29,3
492,6507ee68313443081a27234a,1,0,0,0,0,0,2023-11-08 21:06:58,0
1090,65083cd6313443081a272366,1,0,1,1,1,0,2023-10-29 06:14:41,2
953,64fc46763d690a3e195ee6c6,1,1,1,1,1,0,2023-08-10 15:37:57,4
655,64fc90f13d690a3e195ee8e0,1,0,1,0,0,0,2023-11-02 00:18:05,1
990,64fc4dd63d690a3e195ee6ee,1,1,0,0,0,0,2023-10-26 02:01:07,1
1468,64fc9b6b3d690a3e195ee90a,1,1,1,1,0,0,2023-04-27 18:04:39,3
1303,64fca0063d690a3e195ee937,1,1,0,1,0,0,2023-05-05 04:07:54,2
613,64fc7f3d3d690a3e195ee882,1,0,0,0,0,0,2023-09-03 10:06:01,0
914,64fc7f3d3d690a3e195ee882,1,1,1,0,0,0,2023-08-27 04:38:11,2
89,64fc9b6b3d690a3e195ee90a,1,0,0,0,0,0,2023-06-15 15:28:06,0
664,64fc46763d690a3e195ee6c6,1,1,0,0,0,0,2023-10-27 21:28:29,1
1314,6507ee68313443081a27234a,1,1,1,1,0,0,2023-07-21 16:23:17,3
1036,64fc2511148fd2e0b23d5031,1,0,0,0,0,0,2023-05-12 08:59:18,0
1016,64dfb10e7792cee05d3328d3,1,1,1,1,0,0,2023-07-18 02:37:38,3
1337,64fca0063d690a3e195ee937,1,1,0,0,0,0,2023-07-14 13:12:38,1
1301,64fca7ce3d690a3e195ee97a,1,1,1,0,0,0,2023-07-02 00:23:10,2
626,64fc4dd63d690a3e195ee6ee,1,0,0,0,0,0,2023-03-21 21:27:00,0
490,64fca7ce3d690a3e195ee97a,1,1,0,0,0,0,2023-10-04 21:03:20,1
1553,64fc46763d690a3e195ee6c6,1,0,1,1,1,1,2023-08-30 08:19:16,4
1021,64fc2511148fd2e0b23d5031,1,1,1,0,0,0,2023-09-21 01:52:28,2
1202,64fc7f3d3d690a3e195ee882,1,1,0,0,0,0,2023-07-30 18:31:12,1
236,64fc7a953d690a3e195ee83c,1,1,1,0,0,0,2023-10-24 07:33:02,2
953,65285a2e66f321cbd9ef4ba0,1,0,1,1,0,0,2023-07-14 15:00:02,2
25,65285a2e66f321cbd9ef4ba0,1,1,0,0,0,0,2023-07-21 05:11:57,1
1313,64fca2693d690a3e195ee94d,1,0,1,1,1,0,2023-07-30 15:40:37,3
1462,64fc9b6b3d690a3e195ee90a,1,0,1,1,0,0,2023-06-06 18:29:43,2
37,6507ee68313443081a27234a,1,0,1,0,0,0,2023-10-29 22:55:03,1
258,64fc2511148fd2e0b23d5031,1,0,0,0,0,0,2023-10-23 03:42:09,0
772,64fc3d483d690a3e195ee6a4,1,1,0,0,0,0,2023-05-29 07:09:43,1
1081,64dfb10e7792cee05d3328d3,1,0,1,0,0,0,2023-10-25 05:02:24,1
1129,64fc2511148fd2e0b23d5031,1,1,1,1,0,0,2023-05-06 14:22:09,3
1157,64dfb10e7792cee05d3328d3,1,1,1,0,0,0,2023-10-23 00:53:11,2
1427,64fc9b6b3d690a3e195ee90a,1,0,1,0,0,0,2023-10-07 16:48:35,1
89,64dfb10e7792cee05d3328d3,1,1,0,0,0,0,2023-08-30 06:16:08,1
1312,64fc46763d690a3e195ee6c6,1,0,0,0,0,0,2023-06-05 17:43:41,0
312,64fc7a953d690a3e195ee83c,1,0,1,0,0,0,2023-09-23 06:16:28,1
1503,64fc9b6b3d690a3e195ee90a,1,1,0,0,0,0,2023-04-08 21:42:16,1
885,65083cd6313443081a272366,1,0,0,1,0,0,2023-09-30 21:21:20,1
1279,64fca0063d690a3e195ee937,1,1,0,0,1,0,2023-03-15 21:57:43,2
554,64fca2693d690a3e195ee94d,1,1,0,1,1,0,2023-09-30 04:16:25,3
900,64fc7f3d3d690a3e195ee882,1,1,0,0,0,0,2023-09-21 01:44:40,1
817,64fca2693d690a3e195ee94d,1,1,0,1,1,0,2023-08-30 17:16:10,3
1394,64fc46763d690a3e195ee6c6,1,0,0,0,0,0,2023-04-20 15:44:08,0
1521,64fc2511148fd2e0b23d5031,1,1,0,0,0,0,2023-09-22 20:47:52,1
268,64fca2693d690a3e195ee94d,1,1,0,1,0,0,2023-09-06 05:34:31,2
1567,64fca2693d690a3e195ee94d,1,0,1,1,0,0,2023-08-10 08:35:57,2
541,65285a2e66f321cbd9ef4ba0,1,0,0,0,0,0,2023-07-16 09:23:58,0
335,64fc7f3d3d690a3e195ee882,1,1,1,0,1,0,2023-08-14 20:12:19,3
511,64fc7f3d3d690a3e195ee882,1,1,0,1,0,0,2023-07-07 11:22:05,2
693,64fca0063d690a3e195ee937,1,1,0,0,0,0,2023-05-20 21:12:16,1
1420,64fc7f3d3d690a3e195ee882,1,1,1,1,1,1,2023-07-13 00:20:35,5
186,64fc7a953d690a3e195ee83c,1,1,1,1,1,1,2023-11-05 12:05:11,5
1315,64fc2511148fd2e0b23d5031,1,0,0,0,0,0,2023-06-11 15:59:56,0
1341,65285a2e66f321cbd9ef4ba0,1,1,0,1,0,0,2023-06-25 01:36:50,2
674,65083cd6313443081a272366,1,0,0,1,1,0,2023-05-09 19:00:19,2
577,64fc3d483d690a3e195ee6a4,1,1,1,0,1,0,2023-06-11 18:14:45,3
590,6507ee68313443081a27234a,1,1,1,1,1,0,2023-11-11 10:09:53,4
314,64fc46763d690a3e195ee6c6,1,0,0,0,0,0,2023-10-01 01:48:41,0
888,64fc7f3d3d690a3e195ee882,1,1,1,0,0,0,2023-07-23 16:31:56,2
1301,64fca7ce3d690a3e195ee97a,1,1,1,1,1,0,2023-06-02 03:55:45,4
1308,64fc9b6b3d690a3e195ee90a,1,1,1,0,0,0,2023-05-30 05:16:43,2
1307,65285a2e66f321cbd9ef4ba0,1,1,0,1,0,0,2023-06-20 12:18:37,2
405,64fc8bc73d690a3e195ee898,1,0,1,0,0,0,2023-06-25 03:24:19,1
596,64fca7ce3d690a3e195ee97a,1,0,1,0,0,0,2023-06-24 18:17:03,1
1014,65285a2e66f321cbd9ef4ba0,1,1,0,0,0,0,2023-03-14 09:29:47,1
507,64fc8bc73d690a3e195ee898,1,0,1,0,0,0,2023-08-12 17:32:31,1
689,64fc3d483d690a3e195ee6a4,1,0,0,0,1,1,2023-05-25 19:41:04,2
1634,64fca0063d690a3e195ee937,1,1,0,1,0,0,2023-10-04 23:13:42,2
1192,64fca7ce3d690a3e195ee97a,1,0,0,0,0,0,2023-08-13 07:29:36,0
80,6507ee68313443081a27234a,1,1,0,1,0,0,2023-10-22 20:21:51,2
673,64fc9b6b3d690a3e195ee90a,1,0,0,0,0,0,2023-03-31 18:29:18,0
1304,64fca2693d690a3e195ee94d,1,1,1,0,1,1,2023-10-17 16:35:04,5
216,64fc7f3d3d690a3e195ee882,1,0,1,0,0,0,2023-06-01 03:04:35,1
21,64fc90f13d690a3e195ee8e0,1,1,0,0,1,0,2023-11-07 19:45:10,2
963,64fc90f13d690a3e195ee8e0,1,1,1,1,0,0,2023-03-25 01:08:47,3
569,64fc9b6b3d690a3e195ee90a,1,0,0,0,0,0,2023-09-30 04:59:31,0
519,64fc46763d690a3e195ee6c6,1,1,0,0,0,0,2023-06-29 15:06:18,1
108,64fc4dd63d690a3e195ee6ee,1,1,0,0,0,0,2023-03-25 22:39:58,1
1127,64fc46763d690a3e195ee6c6,1,1,0,0,0,0,2023-05-04 05:32:22,1
12,64fc4dd63d690a3e195ee6ee,1,0,0,0,0,0,2023-05-02 01:40:37,0
834,64fc7a953d690a3e195ee83c,1,1,1,0,0,0,2023-04-09 10:41:49,2
228,64fc7f3d3d690a3e195ee882,1,1,0,0,0,0,2023-08-19 20:42:26,1
358,6507ee68313443081a27234a,1,1,1,0,0,0,2023-08-01 10:15:33,2
837,64fca0063d690a3e195ee937,1,1,0,1,1,0,2023-04-04 19:16:40,3
1258,6507ee68313443081a27234a,1,1,1,0,0,0,2023-09-18 06:41:52,2
524,64fc8bc73d690a3e195ee898,1,1,0,0,0,0,2023-06-12 20:26:05,1
408,6507ee68313443081a27234a,1,0,0,0,0,0,2023-08-27 11:21:21,0
562,65285a2e66f321cbd9ef4ba0,1,1,1,0,0,0,2023-07-08 11:36:19,2
1183,64dfb10e7792cee05d3328d3,1,1,0,0,1,0,2023-05-11 13:05:59,2
607,65083cd6313443081a272366,1,1,0,0,0,0,2023-05-23 23:24:41,1
1681,64fc2511148fd2e0b23d5031,1,0,0,1,0,0,2023-08-04 08:48:10,1
1401,6507ee68313443081a27234a,1,0,0,0,0,0,2023-05-20 00:32:33,0
402,64fc46763d690a3e195ee6c6,1,0,1,1,0,0,2023-08-26 14:32:59,3
356,64fca7ce3d690a3e195ee97a,1,0,1,1,0,0,2023-05-14 22:06:13,2
1254,64fc46763d690a3e195ee6c6,1,0,0,0,0,0,2023-05-27 08:25:57,0
1587,64fca0063d690a3e195ee937,1,1,1,0,0,0,2023-11-01 05:52:16,2
1152,64dfb10e7792cee05d3328d3,1,1,1,1,0,0,2023-11-07 02:09:55,3
708,64fca0063d690a3e195ee937,1,1,1,1,1,0,2023-04-09 21:04:49,4
331,64fc3d483d690a3e195ee6a4,1,1,0,0,0,0,2023-06-07 21:53:35,1
1206,64fc7a953d690a3e195ee83c,1,0,0,0,0,0,2023-06-07 21:44:20,0
1212,64dfb10e7792cee05d3328d3,1,1,1,0,0,0,2023-08-29 16:02:40,2
445,64fc7a953d690a3e195ee83c,1,0,1,1,1,0,2023-08-16 07:43:24,3
39,64fc46763d690a3e195ee6c6,1,1,0,0,0,0,2023-05-17 10:49:11,1
23,64fc7a953d690a3e195ee83c,1,1,1,1,0,0,2023-05-21 15:16:17,3
290,64fc2511148fd2e0b23d5031,1,0,0,0,0,0,2023-08-30 22:13:39,0
266,64fc4dd63d690a3e195ee6ee,1,1,0,0,1,0,2023-08-16 02:40:43,2
1092,64fca7ce3d690a3e195ee97a,1,1,1,1,0,0,2023-05-29 22:58:42,3
1019,64fc9b6b3d690a3e195ee90a,1,0,0,0,0,0,2023-07-16 19:11:27,0
1027,64fc9b6b3d690a3e195ee90a,1,1,1,0,0,0,2023-08-30 09:08:24,2
704,64fca7ce3d690a3e195ee97a,1,0,1,1,0,0,2023-03-18 00:46:16,2
451,64fc4dd63d690a3e195ee6ee,1,1,0,1,1,1,2023-08-21 00:49:11,4
143,64fc2511148fd2e0b23d5031,1,0,0,0,0,0,2023-11-05 06:35:53,0
1064,64fc9b6b3d690a3e195ee90a,1,1,0,0,0,0,2023-09-23 15:23:59,1
592,65285a2e66f321cbd9ef4ba0,1,1,1,0,0,0,2023-09-27 21:46:26,2
663,6507ee68313443081a27234a,1,1,1,1,0,0,2023-03-14 22:11:13,3
388,6507ee68313443081a27234a,1,1,1,1,1,0,2023-10-08 04:13:04,4
988,64fc4dd63d690a3e195ee6ee,1,1,1,1,0,0,2023-06-05 04:23:36,4
1523,64fc2511148fd2e0b23d5031,1,0,0,0,0,0,2023-04-26 11:59:35,0
1316,64fc2511148fd2e0b23d5031,1,1,0,0,0,0,2023-06-20 04:59:42,1
1389,64fc46763d690a3e195ee6c6,1,1,0,0,0,0,2023-05-01 23:54:05,1
695,64dfb10e7792cee05d3328d3,1,1,0,0,0,0,2023-08-17 19:56:41,1
1438,64fc7f3d3d690a3e195ee882,1,1,0,0,0,0,2023-08-02 15:14:45,1
229,64fc8bc73d690a3e195ee898,1,1,0,1,1,0,2023-08-12 00:43:41,3
759,64fc2511148fd2e0b23d5031,1,1,1,1,0,0,2023-03-29 15:51:52,3
231,64fc90f13d690a3e195ee8e0,1,1,0,0,0,0,2023-10-12 21:14:24,1
390,64fc4dd63d690a3e195ee6ee,1,0,0,0,0,0,2023-04-01 07:44:20,0
931,64fc7f3d3d690a3e195ee882,1,0,0,0,0,0,2023-06-15 07:09:58,0
273,64fc4dd63d690a3e195ee6ee,1,1,0,0,0,0,2023-10-24 09:14:38,1
1044,64fc7f3d3d690a3e195ee882,1,0,1,1,0,0,2023-06-07 19:26:41,2
284,64fca0063d690a3e195ee937,1,1,0,1,0,0,2023-07-31 09:38:12,2
870,64fc90f13d690a3e195ee8e0,1,0,1,0,0,0,2023-06-26 11:49:52,1
